Tender_Document_name,Tender_Document_url,Tender_Document_Published_Data,Tender_Document_Bid_Submission_Closing_Date
Pre-Bid Meeting for Supply and Installation of Steel furniture at IIIT Dharwad New Campus.,https://iiitdwd.ac.in/docs/Tenders/Tender_19.pdf,04-03-2020,04/03/2020 AT 10.30 A.M
Pre-Bid Meeting for Supply and Installation of Office and Class Room furniture at IIIT Dharwad New Campus.,https://iiitdwd.ac.in/docs/Tenders/Tender_18.pdf,27-02-2020,27/02/2020 AT 10.30 A.M
Notice Inviting Tender for Supply and Installation of Steel Furniture at IIIT Dharwad New Campus,https://iiitdwd.ac.in/docs/Tenders/Tender_17.pdf,18-02-2020,16/03/2020 AT 03.00P.M
Notice Inviting Tender for Supply and Installation of Office and Class Room furniture at IIIT Dharwad New Campus.,https://iiitdwd.ac.in/docs/Tenders/Tender_16.pdf,14-02-2020,12/03/2020 AT 03.00P.M
"Notice Inviting Tender for Supply, Installation, Demonstration, and Training for RFID based Library Automation Setup at IIIT Dharwad",https://iiitdwd.ac.in/docs/Tenders/Tender_15.pdf,10-01-2020,31/01/2020 AT 03.00P.M
"NIT for Supply, Installation, Demonstration and Training for Audio Video Studio Setup at IIIT Dharwad",https://iiitdwd.ac.in/docs/Tenders/Tender_14.pdf,17-10-2019,18/11/2019 AT 12.00P.M
NOTICE INVITING QUOTATION FOR ANNUAL MAINTENANCE OF AIR CONDITIONING UNITS AT IIIT DHARWAD,https://iiitdwd.ac.in/docs/Tenders/Tender_13.pdf,10-10-2019,24/10/2019 AT 3.00P.M
Tender for Selection of Agency for Providing Catering Service for IIIT Dharwad Hostels,https://iiitdwd.ac.in/docs/Tenders/Tender_12.pdf,22-05-2019,12/06/2019 AT 3.30P.M
Expression of Interest for Hostel Accomodation,https://iiitdwd.ac.in/docs/Tenders/Tender_11.pdf,21-05-2019,06/06/2019 AT 3.30P.M
NOTICE INVITING TENDER FOR HIRING OF BRAND NEW INNOVA CRYSTA-CRYSTAL WHITEON RENTAL BASIS,https://iiitdwd.ac.in/docs/Tenders/Tender_10.pdf,05-02-2019,22/2/2019 AT 3 PM
NOTICE INVITING TENDER FOR HIRING OF MANPOWER SERVICES,https://iiitdwd.ac.in/docs/Tenders/Tender_9.pdf,05-02-2019,26/2/2019 AT 3 P.M
"NOTICE INVITING TENDER FOR CONSTRUCTION OFACDAMIC,HOSTELS&RESIDENTIALQUTARTERS WITH NECESSARY INFRASTRUCTURE FACALITIES AT IIIT DHARWAD CAMPUS",https://iiitdwd.ac.in/docs/Tenders/Tender_8.pdf,22-10-2018,22/11/2018 AT 3P.M.
NOTICE INVITING TENDER FOR VIDEO CONFERENCING FOR IIIT DHARWAD,https://iiitdwd.ac.in/docs/Tenders/Tender_7.pdf,03-07-2018,24/07/2018 AT 3 P.M
NOTICE INVITING TENDER FOR PROCUREMENT OF NETWORK ACCESSORIES FOR IIIT DHARWAD,https://iiitdwd.ac.in/docs/Tenders/Tender_6.pdf,03-07-2018,24/07/2018 AT 3 P.M.
NOTICE INVITING TENDER FOR PROCUREMENT OF UPS FOR IIIT DHARWAD,https://iiitdwd.ac.in/docs/Tenders/Tender_5.pdf,03-07-2018,24/07/2018 AT 3 P.M.
